stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"1462","1462","Combes","Rennes","48.0934775539","-1.6700452396","","","","","","1"
"1463","1463","Binquenais Collège","Rennes","48.0913277909","-1.6631294603","","","","","","1"
"1464","1464","Binquenais","Rennes","48.0912948434","-1.6662951460","","","","","","1"
"1465","1465","Triangle","Rennes","48.0861174134","-1.6611193912","","","","","","1"
"1466","1466","Hôpital Sud","Rennes","48.0850580478","-1.6538603000","","","","","","1"
"1467","1467","Le Blosne","Rennes","48.0875129933","-1.6532730615","","","","","","1"
"1468","1468","La Poterie","Rennes","48.0873825616","-1.6453669238","","","","","","1"
"1469","1469","Le Dantec","Rennes","48.0992760192","-1.6524851394","","","","","","1"
"1470","1470","Villebois-Mareuil","Rennes","48.1006311002","-1.6503922054","","","","","","2"
"1471","1471","Cimetière de l'Est","Rennes","48.1037634606","-1.6494924214","","","","","","1"
"1472","1472","Chardonnet","Rennes","48.1071986848","-1.6509457346","","","","","","1"
"1473","1473","Pont de Strasbourg","Rennes","48.1107610016","-1.6556083181","","","","","","1"
"1474","1474","Durafour Strasbourg","Rennes","48.1134737153","-1.6567469075","","","","","","1"
"1477","1477","Gares","Rennes","48.1038386084","-1.6728603636","","","","","","1"
"1480","1480","ZA Saint-Sulpice","Rennes","48.1319779691","-1.6349282706","","","","","","1"
"1481","1481","Pâtis Tatelin","Rennes","48.1297886571","-1.6422522193","","","","","","1"
"1483","1483","Pâtis Tatelin","Rennes","48.1295497083","-1.6436696649","","","","","","1"
"1484","1484","ZA Saint-Sulpice","Rennes","48.1318749048","-1.6358956396","","","","","","1"
"1485","1485","Saint-Laurent","Rennes","48.1379572633","-1.6587688834","","","","","","1"
"1486","1486","Hôtel de Région","Rennes","48.1348006088","-1.6599007625","","","","","","1"
"1487","1487","Patton Gast","Rennes","48.1313446079","-1.6624058602","","","","","","1"
